Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_017.jpg;-15;0;0;0;99.66999;85.58897;0.0002397265;38.73193;1.127939E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_061.jpg;-15;0;0;0;99.66999;85.58897;0.0002391237;36.03198;1.786415E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_102.jpg;-15;0;0;0;99.66999;85.58897;0.0002386679;34.23203;2.172191E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_142.jpg;-15;0;0;0;99.66999;85.58897;0.000238644;32.43205;2.401461E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_194.jpg;-12.65989;0;0;0;99.66999;85.58897;0.0002387038;30.77943;2.579591E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_234.jpg;-10.21956;0;0;0;99.66999;85.58897;0.0002385084;29.39943;2.602678E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_278.jpg;-8.353854;0;0;0;99.66999;85.58897;0.0002390309;28.22192;2.497669E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_326.jpg;-6.787873;0;0;0;99.66999;85.58897;0.000240478;26.90852;2.227661E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_373.jpg;-4.263685;0;0;0;99.66999;85.58897;0.000240294;26.23739;1.912938E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_415.jpg;-1.920229;0;0;0;99.66999;85.58897;0.0002398617;25.84134;1.519679E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_465.jpg;1.104191;0;0;0;99.66999;85.58897;0.0002405141;25.8249;6.320311E-06
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_507.jpg;3.627215;0;0;0;99.66999;85.58897;0.0002394428;26.15337;-5.798108E-07
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_557.jpg;6.527657;0;0;0;99.66999;85.58897;0.0002391907;26.75943;-7.762512E-06
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_604.jpg;9.47284;0;0;0;99.67;85.58897;0.0002380396;28.26261;-2.021766E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_654.jpg;12.30817;0;0;0;99.67;85.58897;0.0002362532;29.65861;-2.980292E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_702.jpg;15;0;0;0;99.67;85.58897;0.0002348279;32.21294;-4.361592E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_747.jpg;15;0;0;0;99.67;85.58897;0.0002330251;34.01291;-5.198708E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_793.jpg;15;0;0;0;99.67;85.58897;0.0002316679;35.81292;-5.919933E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_841.jpg;15;0;0;0;99.67;85.58897;0.0002288112;38.5129;-6.833615E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_886.jpg;15;0;0;0;99.67;85.58897;0.0002274898;40.31287;-7.32583E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_937.jpg;15;0;0;0;99.67;85.58897;0.0002257559;42.11286;-7.753607E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_19_979.jpg;13.20805;0;0;0;99.67;85.58897;0.0002245308;43.84122;-8.065494E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_019.jpg;12.4104;0;0;0;99.67;85.58897;0.0002241476;45.42616;-8.165595E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_069.jpg;9.427002;0;0;0;99.67;85.58897;0.0002238235;47.34034;-8.067405E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_113.jpg;6.586764;0;0;0;99.67;85.58897;0.0002245706;48.29377;-7.782187E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_157.jpg;4.140829;0;0;0;99.67;85.58897;0.0002264269;48.9402;-7.326936E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_207.jpg;1.263841;0;0;0;99.67;85.58897;0.0002300129;49.34174;-6.273659E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_255.jpg;0;0;0;0;99.67;85.58897;0.0002327105;49.34174;-5.496543E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_296.jpg;0;0;0;0;99.67;85.58897;0.0002353339;49.34174;-4.699411E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_345.jpg;0;0;0;0;99.67;85.58897;0.0002389354;49.34174;-3.490469E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_392.jpg;0;0;0;0;99.67;85.58897;0.0002412772;49.34174;-2.709464E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_443.jpg;0;0;0;0;99.67;85.58897;0.0002447305;49.34174;-1.614128E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_496.jpg;0;0;0;0;99.67;85.58897;0.0002467758;49.34174;-9.067032E-06
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_536.jpg;0;0.1361886;0;0;99.67026;85.58929;0.01010156;49.34175;-2.365595E-06
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_588.jpg;0;0.2903049;0;0.02228571;99.67117;85.59034;0.040078;49.4197;-6.647263E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_637.jpg;0;0.4362126;0;0.01316884;99.67192;85.5912;0.06284194;49.46807;-0.0001475745
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_683.jpg;0;0.5565426;0;0.03638799;99.67405;85.59369;0.1268264;49.53173;-0.0003960285
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_724.jpg;0;0.6948119;0;0.05499121;99.67647;85.59653;0.1998756;49.53845;-0.0002182872
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_767.jpg;0;0.8360531;0;0.08937718;99.6804;85.60114;0.3188999;49.46087;0.0001863723
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_816.jpg;0;0.9791348;0;0.1197352;99.68467;85.60612;0.4358751;49.61053;-0.001409688
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_865.jpg;0;1;0;0.1477455;99.69276;85.61562;0.634155;49.64006;-4.433225E-05
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_911.jpg;0;1;0;0.2105317;99.70007;85.62422;0.8050078;49.66398;-0.0008027331
C:\D drive\Fall 2020\EC500\IMG\robocam_2020_12_12_20_37_20_953.jpg;0;1;0;0.2189856;99.70834;85.63388;0.9823926;49.61076;-0.0005958081
